Feature,Importance
EXT_SOURCE_1,1904
EXT_SOURCE_3,1632
EXT_SOURCE_2,1607
DAYS_BIRTH,1316
AMT_CREDIT,1277
AMT_ANNUITY,1138
AMT_GOODS_PRICE,1044
DAYS_EMPLOYED,965
INSTAL_DPD_MEAN,839
BURO_DAYS_CREDIT_MAX,837
BURO_DAYS_CREDIT_ENDDATE_MAX,835
PREV_CNT_PAYMENT_MEAN,745
DAYS_ID_PUBLISH,699
INSTAL_AMT_PAYMENT_SUM,696
BURO_DAYS_ENDDATE_FACT_MAX,642
DAYS_REGISTRATION,633
OWN_CAR_AGE,623
PREV_AMT_DOWN_PAYMENT_MAX,600
BURO_AMT_CREDIT_SUM_DEBT_MEAN,592
INSTAL_PAYMENT_DIFF_MEAN,582
PREV_CNT_PAYMENT_MAX,570
BURO_AMT_CREDIT_SUM_MEAN,547
PREV_AMT_ANNUITY_MEAN,542
PREV_SELLERPLACE_AREA_MEAN,541
INSTAL_DAYS_ENTRY_PAYMENT_MAX,537
PREV_DAYS_LAST_DUE_1ST_VERSION_MAX,533
INSTAL_NUM_INSTALMENT_VERSION_SUM,519
BURO_AMT_CREDIT_SUM_MIN,519
BURO_AMT_CREDIT_SUM_MAX,513
BURO_AMT_CREDIT_SUM_SUM,501
PREV_DAYS_DECISION_MAX,486
AMT_INCOME_TOTAL,482
DAYS_LAST_PHONE_CHANGE,480
ORGANIZATION_TYPE,480
BURO_DAYS_CREDIT_UPDATE_MAX,473
INSTAL_NUM_INSTALMENT_VERSION_MEAN,457
PREV_HOUR_APPR_PROCESS_START_MEAN,454
REGION_POPULATION_RELATIVE,448
PREV_DAYS_FIRST_DUE_MAX,448
PREV_RATE_DOWN_PAYMENT_MAX,447
CODE_GENDER,436
INSTAL_DAYS_ENTRY_PAYMENT_SUM,432
PREV_DAYS_DECISION_MEAN,393
BURO_DAYS_CREDIT_ENDDATE_SUM,393
INSTAL_AMT_INSTALMENT_MAX,391
INSTAL_AMT_PAYMENT_MEAN,391
NAME_EDUCATION_TYPE,388
PREV_DAYS_FIRST_DRAWING_MEAN,388
INSTAL_DAYS_INSTALMENT_MAX,388
PREV_SELLERPLACE_AREA_MAX,387
INSTAL_AMT_INSTALMENT_SUM,376
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,374
BURO_DAYS_CREDIT_MEAN,370
BURO_AMT_CREDIT_SUM_DEBT_SUM,364
PREV_DAYS_LAST_DUE_MEAN,363
INSTAL_PAYMENT_DIFF_SUM,361
NAME_FAMILY_STATUS,359
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,356
INSTAL_NUM_INSTALMENT_NUMBER_MEAN,356
INSTAL_DAYS_INSTALMENT_MEAN,353
BURO_DAYS_CREDIT_ENDDATE_MEAN,342
INSTAL_DAYS_INSTALMENT_SUM,334
PREV_AMT_DOWN_PAYMENT_MEAN,331
PREV_AMT_ANNUITY_MAX,317
OCCUPATION_TYPE,314
BURO_DAYS_CREDIT_UPDATE_MEAN,307
PREV_DAYS_FIRST_DUE_MEAN,306
BURO_AMT_CREDIT_SUM_DEBT_MAX,306
BURO_DAYS_CREDIT_MIN,304
PREV_DAYS_LAST_DUE_1ST_VERSION_MEAN,299
INSTAL_NUM_INSTALMENT_NUMBER_MAX,299
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,299
PREV_AMT_GOODS_PRICE_MEAN,298
PREV_RATE_DOWN_PAYMENT_MEAN,296
INSTAL_NUM_INSTALMENT_NUMBER_SUM,294
INSTAL_PAYMENT_DIFF_MAX,292
BURO_DAYS_CREDIT_SUM,288
BURO_DAYS_ENDDATE_FACT_MIN,288
PREV_AMT_APPLICATION_MEAN,284
INSTAL_AMT_PAYMENT_MAX,279
INSTAL_DPD_SUM,278
BURO_DAYS_ENDDATE_FACT_MEAN,269
BURO_AMT_CREDIT_MAX_OVERDUE_SUM,268
BURO_AMT_CREDIT_MAX_OVERDUE_MAX,260
PREV_AMT_CREDIT_MAX,251
BURO_DAYS_CREDIT_UPDATE_SUM,241
BURO_MONTHS_BALANCE_SIZE_MEAN,239
BURO_AMT_CREDIT_SUM_LIMIT_MAX,228
NAME_CONTRACT_TYPE,227
PREV_AMT_ANNUITY_SIZE,223
INSTAL_AMT_INSTALMENT_MEAN,222
REGION_RATING_CLIENT_W_CITY,216
TOTALAREA_MODE,215
BURO_DAYS_CREDIT_ENDDATE_MIN,211
PREV_AMT_CREDIT_MEAN,207
YEARS_BEGINEXPLUATATION_MODE,205
BURO_DAYS_CREDIT_UPDATE_MIN,201
PREV_NFLAG_INSURED_ON_APPROVAL_MEAN,200
PREV_AMT_APPLICATION_MAX,193
BURO_AMT_CREDIT_SUM_DEBT_MIN,192
INSTAL_DPD_MAX,186
PREV_DAYS_TERMINATION_MEAN,185
PREV_HOUR_APPR_PROCESS_START_MAX,184
BURO_DAYS_ENDDATE_FACT_SUM,181
APARTMENTS_MODE,176
LANDAREA_MEDI,175
DEF_60_CNT_SOCIAL_CIRCLE,173
APARTMENTS_AVG,173
HOUR_APPR_PROCESS_START,166
LANDAREA_AVG,164
COMMONAREA_MODE,164
NONLIVINGAREA_MODE,164
PREV_DAYS_LAST_DUE_MAX,164
BURO_MONTHS_BALANCE_MIN_MEAN,163
AMT_REQ_CREDIT_BUREAU_QRT,163
NONLIVINGAREA_MEDI,160
BURO_MONTHS_BALANCE_SIZE_SUM,159
FLAG_DOCUMENT_3,159
BURO_MONTHS_BALANCE_SIZE_MIN,155
BURO_AMT_ANNUITY_MAX,154
BURO_MONTHS_BALANCE_SIZE_MAX,153
LIVINGAREA_AVG,153
LIVINGAREA_MODE,150
CNT_FAM_MEMBERS,149
YEARS_BEGINEXPLUATATION_AVG,148
YEARS_BEGINEXPLUATATION_MEDI,144
YEARS_BUILD_MODE,142
BURO_MONTHS_BALANCE_MIN_MAX,139
COMMONAREA_AVG,138
NAME_INCOME_TYPE,137
BURO_AMT_CREDIT_SUM_LIMIT_SUM,137
BASEMENTAREA_AVG,137
INSTAL_NUM_INSTALMENT_VERSION_MAX,135
PREV_AMT_GOODS_PRICE_MAX,132
LIVINGAPARTMENTS_MODE,131
BASEMENTAREA_MODE,130
BURO_MONTHS_BALANCE_MAX_MIN,128
BURO_AMT_ANNUITY_MEAN,128
DEF_30_CNT_SOCIAL_CIRCLE,126
REG_CITY_NOT_LIVE_CITY,125
PREV_DAYS_TERMINATION_MAX,124
LANDAREA_MODE,122
LIVINGAREA_MEDI,119
OBS_60_CNT_SOCIAL_CIRCLE,119
WEEKDAY_APPR_PROCESS_START,116
YEARS_BUILD_AVG,114
APARTMENTS_MEDI,113
BASEMENTAREA_MEDI,113
NONLIVINGAREA_AVG,111
BURO_MONTHS_BALANCE_MAX_MEAN,111
COMMONAREA_MEDI,109
BURO_MONTHS_BALANCE_MIN_MIN,109
OBS_30_CNT_SOCIAL_CIRCLE,106
LIVINGAPARTMENTS_AVG,100
NONLIVINGAPARTMENTS_MODE,99
AMT_REQ_CREDIT_BUREAU_YEAR,98
LIVINGAPARTMENTS_MEDI,98
NONLIVINGAPARTMENTS_AVG,95
FLAG_DOCUMENT_18,91
BURO_MONTHS_BALANCE_MIN_SUM,90
YEARS_BUILD_MEDI,88
BURO_AMT_ANNUITY_MIN,87
FLAG_WORK_PHONE,81
ENTRANCES_AVG,81
BURO_AMT_ANNUITY_SUM,80
FLOORSMAX_AVG,80
AMT_REQ_CREDIT_BUREAU_MON,80
ELEVATORS_AVG,78
FLAG_DOCUMENT_16,76
BURO_AMT_CREDIT_SUM_OVERDUE_SUM,76
BURO_MONTHS_BALANCE_MAX_SUM,71
NAME_HOUSING_TYPE,70
FLOORSMAX_MEDI,67
BURO_AMT_CREDIT_SUM_LIMIT_MIN,66
FLOORSMIN_AVG,66
PREV_DAYS_TERMINATION_SIZE,65
BURO_AMT_CREDIT_MAX_OVERDUE_MIN,64
BURO_AMT_CREDIT_SUM_OVERDUE_MAX,58
FLAG_DOCUMENT_13,54
ENTRANCES_MODE,51
NAME_TYPE_SUITE,44
BURO_CNT_CREDIT_PROLONG_MAX,43
WALLSMATERIAL_MODE,43
NONLIVINGAPARTMENTS_MEDI,42
ENTRANCES_MEDI,34
ELEVATORS_MODE,34
PREV_RATE_INTEREST_PRIMARY_MAX,34
FLAG_OWN_CAR,31
FLOORSMAX_MODE,29
ELEVATORS_MEDI,29
BURO_MONTHS_BALANCE_MAX_MAX,27
PREV_HOUR_APPR_PROCESS_START_SIZE,25
REG_CITY_NOT_WORK_CITY,24
REGION_RATING_CLIENT,24
FLAG_OWN_REALTY,24
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,24
FLAG_PHONE,23
FLOORSMIN_MODE,23
FLAG_DOCUMENT_8,22
PREV_NFLAG_LAST_APPL_IN_DAY_MEAN,21
AMT_REQ_CREDIT_BUREAU_DAY,21
CNT_CHILDREN,18
BURO_CNT_CREDIT_PROLONG_MEAN,18
FLAG_DOCUMENT_11,17
LIVE_CITY_NOT_WORK_CITY,15
FLAG_EMP_PHONE,15
FLOORSMIN_MEDI,11
PREV_RATE_INTEREST_PRIVILEGED_MEAN,11
BURO_CREDIT_DAY_OVERDUE_MEAN,11
PREV_RATE_INTEREST_PRIMARY_MEAN,10
FONDKAPREMONT_MODE,9
PREV_RATE_INTEREST_PRIVILEGED_MAX,9
FLAG_DOCUMENT_15,9
BURO_CREDIT_DAY_OVERDUE_MAX,9
AMT_REQ_CREDIT_BUREAU_WEEK,7
LIVE_REGION_NOT_WORK_REGION,7
PREV_NFLAG_INSURED_ON_APPROVAL_SIZE,6
REG_REGION_NOT_WORK_REGION,5
FLAG_DOCUMENT_5,5
BURO_CREDIT_DAY_OVERDUE_SUM,4
BURO_CNT_CREDIT_PROLONG_SUM,4
HOUSETYPE_MODE,4
PREV_NFLAG_INSURED_ON_APPROVAL_MAX,4
PREV_NFLAG_LAST_APPL_IN_DAY_SIZE,4
REG_REGION_NOT_LIVE_REGION,4
FLAG_DOCUMENT_6,3
FLAG_EMAIL,3
PREV_RATE_DOWN_PAYMENT_SIZE,1
AMT_REQ_CREDIT_BUREAU_HOUR,1
EMERGENCYSTATE_MODE,1
FLAG_DOCUMENT_9,1
FLAG_DOCUMENT_14,1
FLAG_DOCUMENT_17,1
FLAG_DOCUMENT_20,0
PREV_DAYS_FIRST_DRAWING_MAX,0
PREV_DAYS_DECISION_SIZE,0
PREV_CNT_PAYMENT_SIZE,0
PREV_AMT_GOODS_PRICE_SIZE,0
PREV_AMT_DOWN_PAYMENT_SIZE,0
PREV_AMT_CREDIT_SIZE,0
PREV_DAYS_FIRST_DRAWING_SIZE,0
PREV_AMT_APPLICATION_SIZE,0
FLAG_DOCUMENT_12,0
FLAG_DOCUMENT_19,0
FLAG_DOCUMENT_2,0
FLAG_DOCUMENT_21,0
BURO_CREDIT_DAY_OVERDUE_MIN,0
PREV_DAYS_FIRST_DUE_SIZE,0
PREV_DAYS_LAST_DUE_1ST_VERSION_SIZE,0
PREV_DAYS_LAST_DUE_SIZE,0
FLAG_DOCUMENT_4,0
PREV_SELLERPLACE_AREA_SIZE,0
PREV_RATE_INTEREST_PRIVILEGED_SIZE,0
FLAG_DOCUMENT_7,0
PREV_RATE_INTEREST_PRIMARY_SIZE,0
FLAG_CONT_MOBILE,0
FLAG_MOBIL,0
BURO_AMT_CREDIT_SUM_OVERDUE_MIN,0
BURO_CNT_CREDIT_PROLONG_MIN,0
PREV_NFLAG_LAST_APPL_IN_DAY_MAX,0
FLAG_DOCUMENT_10,0
